Flight Number,Origin,Destination,Expected Departure/Arrival,Special Request Code
AF 231,Paris (CDG),Singapore (SIN),10:00 AM,CFFT
LH 563,Frankfurt (FRA),Singapore (SIN),12:00 PM,LWTT
EK 567,Dubai (DXB),Sydney (SYD),1:45 PM,DDJB
QR 455,Doha (DOH),Singapore (SIN),2:10 AM,
BA 303,London (LHR),New York (JFK),4:30 PM,CFFT
SQ 145,Singapore (SIN),Los Angeles (LAX),6:00 AM,LWTT
MH 202,Kuala Lumpur (KUL),London (LHR),7:00 PM,DDJB
JL 320,Tokyo (NRT),Los Angeles (LAX),8:30 AM,CFFT
CX 781,Hong Kong (HKD),Singapore (SIN),9:40 AM,
QF 135,Sydney (SYD),Singapore (SIN),10:15 PM,CFFT
TR 453,Bangkok (BKK),Dubai (DXB),11:25 AM,
EK 900,Dubai (DXB),Singapore (SIN),1:00 PM,LWTT
BA 801,London (LHR),Singapore (SIN),2:50 PM,CFFT
SQ 411,New York (JFK),Singapore (SIN),4:20 PM,
MH 605,Singapore (SIN),Kuala Lumpur (KUL),6:35 PM,DDJB
JL 501,Tokyo (NRT),Singapore (SIN),8:00 AM,
CX 888,Hong Kong (HKD),Singapore (SIN),9:05 PM,
QF 231,Sydney (SYD),Singapore (SIN),11:10 AM,LWTT
TR 432,Bangkok (BKK),Singapore (SIN),12:25 PM,CFFT
EK 150,Dubai (DXB),London (LHR),1:00 AM,LWTT
BA 732,London (LHR),Singapore (SIN),5:40 PM,
SQ 988,Singapore (SIN),New York (JFK),7:00 PM,CFFT
MH 380,Jakarta (CGK),Singapore (SIN),8:25 AM,DDJB
JL 731,Tokyo (NRT),Singapore (SIN),9:30 AM,CFFT
CX 468,Singapore (SIN),Hong Kong (HKD),11:45 AM,
QF 507,Melbourne (MEL),Singapore (SIN),12:20 PM,LWTT
TR 555,Bangkok (BKK),Singapore (SIN),2:00 PM,CFFT
EK 313,Dubai (DXB),Singapore (SIN),4:50 AM,LWTT
BA 876,London (LHR),Singapore (SIN),5:30 PM,CFFT
SQ 774,New York (JFK),Singapore (SIN),7:45 AM,
MH 908,Jakarta (CGK),Singapore (SIN),9:00 AM,LWTT
JL 420,Singapore (SIN),Tokyo (NRT),10:10 AM,CFFT
CX 675,Singapore (SIN),Hong Kong (HKD),12:15 PM,DDJB
QF 312,Sydney (SYD),Singapore (SIN),3:05 PM,
TR 789,Singapore (SIN),Bangkok (BKK),4:15 PM,LWTT
